Gene stable ID	Gene name	Gene description
ENSG00000206631	RNU6-657P	RNA, U6 small nuclear 657, pseudogene [Source:HGNC Symbol;Acc:HGNC:47620]
ENSG00000202240	RNU6-737P	RNA, U6 small nuclear 737, pseudogene [Source:HGNC Symbol;Acc:HGNC:47700]
ENSG00000252254	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000212273	SNORA40	Small nucleolar RNA SNORA40 [Source:RFAM;Acc:RF00561]
ENSG00000241159	RN7SL160P	RNA, 7SL, cytoplasmic 160, pseudogene [Source:HGNC Symbol;Acc:HGNC:46176]
ENSG00000207241	SNORD45A	small nucleolar RNA, C/D box 45A [Source:HGNC Symbol;Acc:HGNC:10184]
ENSG00000239471	RN7SL584P	RNA, 7SL, cytoplasmic 584, pseudogene [Source:HGNC Symbol;Acc:HGNC:46600]
ENSG00000206706	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000272412	RN7SL778P	RNA, 7SL, cytoplasmic 778, pseudogene [Source:HGNC Symbol;Acc:HGNC:46794]
ENSG00000201955	RNY3P1	RNA, Ro-associated Y3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:42477]
ENSG00000207011	RNY4P13	RNA, Ro-associated Y4 pseudogene 13 [Source:HGNC Symbol;Acc:HGNC:34063]
ENSG00000199666	U3	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]
ENSG00000253099	RNU2-60P	RNA, U2 small nuclear 60, pseudogene [Source:HGNC Symbol;Acc:HGNC:48553]
ENSG00000206630	SNORD60	small nucleolar RNA, C/D box 60 [Source:HGNC Symbol;Acc:HGNC:10217]
ENSG00000252840	SNORA44	Small nucleolar RNA SNORA44 [Source:RFAM;Acc:RF00405]
ENSG00000239183	SNORA84	small nucleolar RNA, H/ACA box 84 [Source:HGNC Symbol;Acc:HGNC:33615]
ENSG00000242102	RN7SL152P	RNA, 7SL, cytoplasmic 152, pseudogene [Source:HGNC Symbol;Acc:HGNC:46168]
ENSG00000207378	RNU6-748P	RNA, U6 small nuclear 748, pseudogene [Source:HGNC Symbol;Acc:HGNC:47711]
ENSG00000242256	RN7SL57P	RNA, 7SL, cytoplasmic 57, pseudogene [Source:HGNC Symbol;Acc:HGNC:46073]
ENSG00000201725	RNU6-304P	RNA, U6 small nuclear 304, pseudogene [Source:HGNC Symbol;Acc:HGNC:47267]
ENSG00000252774	SNORA48	Small nucleolar RNA SNORA48 [Source:RFAM;Acc:RF00554]
ENSG00000202231	SNORA9	Small nucleolar RNA SNORA9 [Source:RFAM;Acc:RF00411]
ENSG00000212182	U3	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]
ENSG00000265331	MIR4524B	microRNA 4524b [Source:HGNC Symbol;Acc:HGNC:43520]
ENSG00000212539	U3	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]
ENSG00000199594	RNU6-1301P	RNA, U6 small nuclear 1301, pseudogene [Source:HGNC Symbol;Acc:HGNC:48264]
ENSG00000239908	RN7SL75P	RNA, 7SL, cytoplasmic 75, pseudogene [Source:HGNC Symbol;Acc:HGNC:46091]
ENSG00000200752	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000210839	RNU6ATAC5P	RNA, U6atac small nuclear 5, pseudogene [Source:HGNC Symbol;Acc:HGNC:34095]
ENSG00000201119	RNU1-33P	RNA, U1 small nuclear 33, pseudogene [Source:HGNC Symbol;Acc:HGNC:48375]
ENSG00000266569	RN7SL377P	RNA, 7SL, cytoplasmic 377, pseudogene [Source:HGNC Symbol;Acc:HGNC:46393]
ENSG00000238324	RN7SKP198	RNA, 7SK small nuclear pseudogene 198 [Source:HGNC Symbol;Acc:HGNC:45922]
ENSG00000251893	SNORA70	Small nucleolar RNA SNORA70 [Source:RFAM;Acc:RF00156]
ENSG00000237611	Metazoa_SRP	Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]
ENSG00000252217	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000202411	RNA5SP259	RNA, 5S ribosomal pseudogene 259 [Source:HGNC Symbol;Acc:HGNC:43159]
ENSG00000221601	RNU4ATAC2P	RNA, U4atac small nuclear 2, pseudogene [Source:HGNC Symbol;Acc:HGNC:39003]
ENSG00000239040	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000221031	CoTC_ribozyme	Beta-globin co-transcriptional cleavage ribozyme [Source:RFAM;Acc:RF00621]
ENSG00000199856	U3	Small nucleolar RNA U3 [Source:RFAM;Acc:RF00012]
ENSG00000251947	RN7SKP164	RNA, 7SK small nuclear pseudogene 164 [Source:HGNC Symbol;Acc:HGNC:45888]
ENSG00000252183	RNU6-948P	RNA, U6 small nuclear 948, pseudogene [Source:HGNC Symbol;Acc:HGNC:47911]
ENSG00000206920	RNY1P6	RNA, Ro-associated Y1 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:42483]
ENSG00000201547	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000264313	RN7SL644P	RNA, 7SL, cytoplasmic 644, pseudogene [Source:HGNC Symbol;Acc:HGNC:46660]
ENSG00000265386	RN7SL219P	RNA, 7SL, cytoplasmic 219, pseudogene [Source:HGNC Symbol;Acc:HGNC:46235]
ENSG00000222057	RNU4-62P	RNA, U4 small nuclear 62, pseudogene [Source:HGNC Symbol;Acc:HGNC:46998]
ENSG00000252621	Y_RNA	Y RNA [Source:RFAM;Acc:RF00019]
ENSG00000206903	SNORA24	Small nucleolar RNA SNORA24 [Source:RFAM;Acc:RF00399]
ENSG00000207269	RN7SKP62	RNA, 7SK small nuclear pseudogene 62 [Source:HGNC Symbol;Acc:HGNC:45786]
ENSG00000202512	RN7SKP230	RNA, 7SK small nuclear pseudogene 230 [Source:HGNC Symbol;Acc:HGNC:45954]
ENSG00000265727	RN7SL648P	RNA, 7SL, cytoplasmic 648, pseudogene [Source:HGNC Symbol;Acc:HGNC:46664]
ENSG00000241834	RN7SL149P	RNA, 7SL, cytoplasmic 149, pseudogene [Source:HGNC Symbol;Acc:HGNC:46165]
ENSG00000266627	RN7SL202P	RNA, 7SL, cytoplasmic 202, pseudogene [Source:HGNC Symbol;Acc:HGNC:46218]
ENSG00000223190	RN7SKP100	RNA, 7SK small nuclear pseudogene 100 [Source:HGNC Symbol;Acc:HGNC:45824]
ENSG00000200534	SNORA33	small nucleolar RNA, H/ACA box 33 [Source:HGNC Symbol;Acc:HGNC:32623]
ENSG00000252794	RN7SKP60	RNA, 7SK small nuclear pseudogene 60 [Source:HGNC Symbol;Acc:HGNC:45784]
ENSG00000272075	RN7SL828P	RNA, 7SL, cytoplasmic 828, pseudogene [Source:HGNC Symbol;Acc:HGNC:46844]
ENSG00000207155	RNY1P14	RNA, Ro-associated Y1 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:50877]
ENSG00000252847	RNU2-46P	RNA, U2 small nuclear 46, pseudogene [Source:HGNC Symbol;Acc:HGNC:48539]
ENSG00000206973	RNU6-1145P	RNA, U6 small nuclear 1145, pseudogene [Source:HGNC Symbol;Acc:HGNC:48108]
ENSG00000264810	MIR4441	microRNA 4441 [Source:HGNC Symbol;Acc:HGNC:41728]
ENSG00000265813	RN7SL300P	RNA, 7SL, cytoplasmic 300, pseudogene [Source:HGNC Symbol;Acc:HGNC:46316]
ENSG00000221184	MIR1254-1	microRNA 1254-1 [Source:HGNC Symbol;Acc:HGNC:35319]
ENSG00000215595	C20orf202	chromosome 20 open reading frame 202 [Source:HGNC Symbol;Acc:HGNC:37254]
ENSG00000141252	VPS53	VPS53, GARP complex subunit [Source:HGNC Symbol;Acc:HGNC:25608]
ENSG00000258308	RP11-554E23.2	
ENSG00000241917	RP11-512N21.1	
ENSG00000253966	CTC-455F18.3	
ENSG00000261730	RP4-668J24.2	
ENSG00000253503	RP11-653B10.1	
ENSG00000262135	GARSP1	glycyl-tRNA synthetase pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:50480]
ENSG00000206228	HNRNPA1P4	heterogeneous nuclear ribonucleoprotein A1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:32234]
ENSG00000213033	AURKAPS1	aurora kinase A pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:18611]
ENSG00000244137	RP11-99J16__A.2	
ENSG00000217231	RP3-340H11.2	
ENSG00000253912	RP11-402L5.2	
ENSG00000232021	LEF1-AS1	LEF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40339]
ENSG00000132549	VPS13B	vacuolar protein sorting 13 homolog B [Source:HGNC Symbol;Acc:HGNC:2183]
ENSG00000235683	AC018442.1	
ENSG00000178193	RP4-682C21.5	
ENSG00000253348	CTC-455F18.1	
ENSG00000260451	GEMIN8P2	gem nuclear organelle associated protein 8 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:37977]
ENSG00000128578	STRIP2	striatin interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:22209]
ENSG00000104231	ZFAND1	zinc finger AN1-type containing 1 [Source:HGNC Symbol;Acc:HGNC:25858]
ENSG00000253180	RP11-410L14.1	
ENSG00000135776	ABCB10	ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]
ENSG00000109956	B3GAT1	beta-1,3-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:921]
ENSG00000197136	PCNX3	pecanex homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:18760]
ENSG00000235172	LINC01366	long intergenic non-protein coding RNA 1366 [Source:HGNC Symbol;Acc:HGNC:27416]
ENSG00000104824	HNRNPL	heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:HGNC:5045]
ENSG00000238072	RP11-305M3.2	
ENSG00000158467	AHCYL2	adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204]
ENSG00000104823	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]
ENSG00000225572	DOCK4-AS1	DOCK4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40876]
ENSG00000198270	TMEM116	transmembrane protein 116 [Source:HGNC Symbol;Acc:HGNC:25084]
ENSG00000168005	C11orf84	chromosome 11 open reading frame 84 [Source:HGNC Symbol;Acc:HGNC:25115]
ENSG00000240870	RPL19P14	ribosomal protein L19 pseudogene 14 [Source:HGNC Symbol;Acc:HGNC:35684]
ENSG00000080854	IGSF9B	immunoglobulin superfamily member 9B [Source:HGNC Symbol;Acc:HGNC:32326]
ENSG00000221955	SLC12A8	solute carrier family 12 member 8 [Source:HGNC Symbol;Acc:HGNC:15595]
ENSG00000255258	RP11-448P19.1	
ENSG00000182667	NTM	neurotrimin [Source:HGNC Symbol;Acc:HGNC:17941]
ENSG00000271624	RP11-651K21.1	
ENSG00000181450	ZNF678	zinc finger protein 678 [Source:HGNC Symbol;Acc:HGNC:28652]
ENSG00000237612	AP002856.7	
ENSG00000230331	RP5-1068B5.1	
ENSG00000104361	NIPAL2	NIPA like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25854]
ENSG00000220913	RP11-235G24.2	
ENSG00000149418	ST14	suppression of tumorigenicity 14 [Source:HGNC Symbol;Acc:HGNC:11344]
ENSG00000136628	EPRS	glutamyl-prolyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:3418]
ENSG00000171747	LGALS4	galectin 4 [Source:HGNC Symbol;Acc:HGNC:6565]
ENSG00000251591	CTD-2197M16.1	
ENSG00000174903	RAB1B	RAB1B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18370]
ENSG00000256030	CBX3P4	chromobox 3 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42876]
ENSG00000234277	LINC01641	long intergenic non-protein coding RNA 1641 [Source:HGNC Symbol;Acc:HGNC:52428]
ENSG00000242757	CTD-2090I13.3	
ENSG00000203648	AC007618.3	
ENSG00000143669	LYST	lysosomal trafficking regulator [Source:HGNC Symbol;Acc:HGNC:1968]
ENSG00000229840	ISCA1P2	iron-sulfur cluster assembly 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:38023]
ENSG00000254129	CTD-2647L4.1	
ENSG00000253770	HMGB1P23	high mobility group box 1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:39114]
ENSG00000120457	KCNJ5	potassium voltage-gated channel subfamily J member 5 [Source:HGNC Symbol;Acc:HGNC:6266]
ENSG00000204767	FAM196B	family with sequence similarity 196 member B [Source:HGNC Symbol;Acc:HGNC:37271]
ENSG00000128513	POT1	protection of telomeres 1 [Source:HGNC Symbol;Acc:HGNC:17284]
ENSG00000255369	RP11-740D6.3	
ENSG00000224899	RP11-3B12.5	
ENSG00000223794	COX5BP8	cytochrome c oxidase subunit 5B pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:39083]
ENSG00000230408	AC007163.6	
ENSG00000254960	KIRREL3-AS2	KIRREL3 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:42656]
ENSG00000089022	MAPKAPK5	mitogen-activated protein kinase-activated protein kinase 5 [Source:HGNC Symbol;Acc:HGNC:6889]
ENSG00000234608	MAPKAPK5-AS1	MAPKAPK5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:24091]
ENSG00000248469	RP11-826N14.2	
ENSG00000182230	FAM153B	family with sequence similarity 153 member B [Source:HGNC Symbol;Acc:HGNC:27323]
ENSG00000234224	TMEM229A	transmembrane protein 229A [Source:HGNC Symbol;Acc:HGNC:37279]
ENSG00000136490	LIMD2	LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28142]
ENSG00000163584	RPL22L1	ribosomal protein L22 like 1 [Source:HGNC Symbol;Acc:HGNC:27610]
ENSG00000221838	AP4M1	adaptor related protein complex 4 mu 1 subunit [Source:HGNC Symbol;Acc:HGNC:574]
ENSG00000254833	RP11-50B3.2	
ENSG00000256508	MRGPRF-AS1	MRGPRF antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51140]
ENSG00000238107	RP11-495P10.5	
ENSG00000225871	RP11-495P10.10	
ENSG00000124920	MYRF	myelin regulatory factor [Source:HGNC Symbol;Acc:HGNC:1181]
ENSG00000159184	HOXB13	homeobox B13 [Source:HGNC Symbol;Acc:HGNC:5112]
ENSG00000253106	RP11-158K1.3	
ENSG00000271779	RP11-87N3.6	
ENSG00000244649	LINC02086	long intergenic non-protein coding RNA 2086 [Source:HGNC Symbol;Acc:HGNC:52936]
ENSG00000272763	RP11-357H14.17	
ENSG00000244559	CTD-2377D24.2	
ENSG00000242067	RPL9P28	ribosomal protein L9 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:36445]
ENSG00000002822	MAD1L1	MAD1 mitotic arrest deficient like 1 [Source:HGNC Symbol;Acc:HGNC:6762]
ENSG00000248430	HMGB3P16	high mobility group box 3 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:39308]
ENSG00000034239	EFCAB1	EF-hand calcium binding domain 1 [Source:HGNC Symbol;Acc:HGNC:25678]
ENSG00000146722	AC006014.8	
ENSG00000234041	RP11-345I18.1	
ENSG00000250025	CTC-359M8.1	
ENSG00000171953	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2 [Source:HGNC Symbol;Acc:HGNC:18802]
ENSG00000225080	PFN1P4	profilin 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:42992]
ENSG00000257611	RP11-185N2.1	
ENSG00000145863	GABRA6	gamma-aminobutyric acid type A receptor alpha6 subunit [Source:HGNC Symbol;Acc:HGNC:4080]
ENSG00000225620	RP11-569A11.2	
ENSG00000232626	RP11-175B9.2	
ENSG00000110876	SELPLG	selectin P ligand [Source:HGNC Symbol;Acc:HGNC:10722]
ENSG00000235946	LL0XNC01-240C2.1	
ENSG00000258388	PPT2-EGFL8	PPT2-EGFL8 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:48343]
ENSG00000253417	LINC02159	long intergenic non-protein coding RNA 2159 [Source:HGNC Symbol;Acc:HGNC:27749]
ENSG00000271626	RP11-3K24.2	
ENSG00000242958	RP11-662B19.1	
ENSG00000170956	CEACAM3	carcinoembryonic antigen related cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:1815]
ENSG00000161016	RPL8	ribosomal protein L8 [Source:HGNC Symbol;Acc:HGNC:10368]
ENSG00000229663	AL672296.1	
ENSG00000152904	GGPS1	geranylgeranyl diphosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:4249]
ENSG00000110446	SLC15A3	solute carrier family 15 member 3 [Source:HGNC Symbol;Acc:HGNC:18068]
ENSG00000177151	OR2T35	olfactory receptor family 2 subfamily T member 35 [Source:HGNC Symbol;Acc:HGNC:31257]
ENSG00000134028	ADAMDEC1	ADAM like decysin 1 [Source:HGNC Symbol;Acc:HGNC:16299]
ENSG00000089723	OTUB2	OTU deubiquitinase, ubiquitin aldehyde binding 2 [Source:HGNC Symbol;Acc:HGNC:20351]
ENSG00000236700	LINC01010	long intergenic non-protein coding RNA 1010 [Source:HGNC Symbol;Acc:HGNC:48978]
ENSG00000254823	RP11-109E10.1	
ENSG00000235459	RPS26P31	ribosomal protein S26 pseudogene 31 [Source:HGNC Symbol;Acc:HGNC:36614]
ENSG00000166250	CLMP	CXADR like membrane protein [Source:HGNC Symbol;Acc:HGNC:24039]
ENSG00000253535	RP11-624C23.1	
ENSG00000128408	RIBC2	RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]
ENSG00000235926	RPS29P15	ribosomal protein S29 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:35876]
ENSG00000122406	RPL5	ribosomal protein L5 [Source:HGNC Symbol;Acc:HGNC:10360]
ENSG00000253537	PCDHGA7	protocadherin gamma subfamily A, 7 [Source:HGNC Symbol;Acc:HGNC:8705]
ENSG00000106261	ZKSCAN1	zinc finger with KRAB and SCAN domains 1 [Source:HGNC Symbol;Acc:HGNC:13101]
ENSG00000109943	CRTAM	cytotoxic and regulatory T-cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]
ENSG00000196071	OR2L13	olfactory receptor family 2 subfamily L member 13 [Source:HGNC Symbol;Acc:HGNC:19578]
ENSG00000231484	RP11-548K12.12	
ENSG00000231232	RP11-548K12.1	
ENSG00000226191	CLK3P2	CDC like kinase 3 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:49786]
ENSG00000236907	RP11-548K12.3	
ENSG00000263874	LINC00672	long intergenic non-protein coding RNA 672 [Source:HGNC Symbol;Acc:HGNC:44353]
ENSG00000255316	MTND6P25	mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 pseudogene 25 [Source:HGNC Symbol;Acc:HGNC:51984]
ENSG00000257443	RP11-150C16.1	
ENSG00000105388	CEACAM5	carcinoembryonic antigen related cell adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:1817]
ENSG00000213214	ARHGEF35	Rho guanine nucleotide exchange factor 35 [Source:HGNC Symbol;Acc:HGNC:33846]
ENSG00000222022	AC112721.1	
ENSG00000254563	RP11-673F18.1	
ENSG00000258302	RP11-981P6.1	
ENSG00000239736	CEACAMP3	carcinoembryonic antigen related cell adhesion molecule pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:1825]
ENSG00000269266	DNAJC19P2	DnaJ heat shock protein family (Hsp40) member C19 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:45065]
ENSG00000113494	PRLR	prolactin receptor [Source:HGNC Symbol;Acc:HGNC:9446]
ENSG00000160957	RECQL4	RecQ like helicase 4 [Source:HGNC Symbol;Acc:HGNC:9949]
ENSG00000179431	FJX1	four jointed box 1 [Source:HGNC Symbol;Acc:HGNC:17166]
ENSG00000254686	RP1-276E15.1	
ENSG00000188828	GLRA4	glycine receptor alpha 4 [Source:HGNC Symbol;Acc:HGNC:31715]
ENSG00000251538	LINC02201	long intergenic non-protein coding RNA 2201 [Source:HGNC Symbol;Acc:HGNC:53067]
ENSG00000179363	TMEM31	transmembrane protein 31 [Source:HGNC Symbol;Acc:HGNC:28601]
ENSG00000158417	EIF5B	eukaryotic translation initiation factor 5B [Source:HGNC Symbol;Acc:HGNC:30793]
ENSG00000261695	RP11-719K4.6	
ENSG00000144182	LIPT1	lipoyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:29569]
ENSG00000233392	AC104809.4	
ENSG00000006071	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]
ENSG00000247699	CTB-127C13.1	
ENSG00000110076	NRXN2	neurexin 2 [Source:HGNC Symbol;Acc:HGNC:8009]
ENSG00000162739	SLAMF6	SLAM family member 6 [Source:HGNC Symbol;Acc:HGNC:21392]
ENSG00000237520	RP11-443B7.2	
ENSG00000154358	OBSCN	obscurin, cytoskeletal calmodulin and titin-interacting RhoGEF [Source:HGNC Symbol;Acc:HGNC:15719]
ENSG00000253729	PRKDC	protein kinase, DNA-activated, catalytic polypeptide [Source:HGNC Symbol;Acc:HGNC:9413]
ENSG00000151365	THRSP	thyroid hormone responsive [Source:HGNC Symbol;Acc:HGNC:11800]
ENSG00000151364	KCTD14	potassium channel tetramerization domain containing 14 [Source:HGNC Symbol;Acc:HGNC:23295]
ENSG00000116128	BCL9	B-cell CLL/lymphoma 9 [Source:HGNC Symbol;Acc:HGNC:1008]
ENSG00000267024	CTD-2588C8.8	
ENSG00000266826	CTD-2200P10.1	
ENSG00000173706	HEG1	heart development protein with EGF like domains 1 [Source:HGNC Symbol;Acc:HGNC:29227]
ENSG00000272108	AC005754.8	
ENSG00000104872	PIH1D1	PIH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26075]
ENSG00000189376	C8orf76	chromosome 8 open reading frame 76 [Source:HGNC Symbol;Acc:HGNC:25924]
ENSG00000177839	PCDHB9	protocadherin beta 9 [Source:HGNC Symbol;Acc:HGNC:8694]
ENSG00000145919	BOD1	biorientation of chromosomes in cell division 1 [Source:HGNC Symbol;Acc:HGNC:25114]
ENSG00000230192	AC073387.2	
ENSG00000106991	ENG	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]
ENSG00000234273	AC073071.1	
ENSG00000059588	TARBP1	TAR (HIV-1) RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11568]
ENSG00000170075	GPR37L1	G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:HGNC:14923]
ENSG00000228063	LYPLAL1-AS1	LYPLAL1 antisense RNA 1 (head to head) [Source:HGNC Symbol;Acc:HGNC:50560]
ENSG00000227109	CRIP1P3	cysteine rich protein 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:44518]
ENSG00000249604	RP11-286E11.2	
ENSG00000233771	CICP5	capicua transcriptional repressor pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:37754]
ENSG00000179571	NBPF17P	neuroblastoma breakpoint family member 17, pseudogene [Source:HGNC Symbol;Acc:HGNC:31997]
ENSG00000253214	RP11-1149M10.2	
ENSG00000248605	CTD-2306M5.1	
ENSG00000239219	RP11-379K17.4	
ENSG00000125743	SNRPD2	small nuclear ribonucleoprotein D2 polypeptide [Source:HGNC Symbol;Acc:HGNC:11159]
ENSG00000147804	SLC39A4	solute carrier family 39 member 4 [Source:HGNC Symbol;Acc:HGNC:17129]
ENSG00000223466	LINC01825	long intergenic non-protein coding RNA 1825 [Source:HGNC Symbol;Acc:HGNC:52631]
ENSG00000167196	FBXO22	F-box protein 22 [Source:HGNC Symbol;Acc:HGNC:13593]
ENSG00000147113	CXorf36	chromosome X open reading frame 36 [Source:HGNC Symbol;Acc:HGNC:25866]
ENSG00000235088	RP4-620E11.4	
ENSG00000254331	CKS1BP7	CDC28 protein kinase regulatory subunit 1B pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:1999]
ENSG00000230216	HSPB1P2	heat shock protein family B (small) member 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:5252]
ENSG00000154556	SORBS2	sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24098]
ENSG00000175573	C11orf68	chromosome 11 open reading frame 68 [Source:HGNC Symbol;Acc:HGNC:28801]
ENSG00000249610	CTC-441N14.1	
ENSG00000250803	CTC-441N14.4	uncharacterized protein LOC100505841  [Source:RefSeq peptide;Acc:NP_001182464]
ENSG00000196924	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]
ENSG00000125691	RPL23	ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10316]
ENSG00000174514	MFSD4A	major facilitator superfamily domain containing 4A [Source:HGNC Symbol;Acc:HGNC:25433]
